id,common_name,scientific_name,kingdom_group,category,subcategory,season,habitat,description,edibility,medicinal_uses,warning,conservation_status,image_search,image_url
curlew,Curlew,Numenius arquata,Birds,Resident and winter visitor,Wader,All year; winter flocks more visible,"Bog, wet grassland, estuaries, coastal mudflats",Large wader with long downcurved bill and haunting call.,N/A,N/A,Breeding birds are highly sensitive to disturbance,Major conservation concern in Ireland,Numenius arquata,
northern-lapwing,Lapwing,Vanellus vanellus,Birds,Resident and winter visitor,Wader,All year; winter flocks,"Wet grassland, farmland, estuaries, bog edges",Crested wader with tumbling display flight and peewit call.,N/A,N/A,Avoid disturbing breeding fields,Declining breeding species; winter visitor,Vanellus vanellus,
oystercatcher,Oystercatcher,Haematopus ostralegus,Birds,Resident and winter visitor,Wader,All year; coastal flocks winter,"Coasts, estuaries, beaches, some inland breeding areas",Black-and-white wader with bright orange bill and loud piping call.,N/A,N/A,Keep dogs away from feeding and nesting birds,Resident/wintering wader; habitat pressure,Haematopus ostralegus,
common-redshank,Redshank,Tringa totanus,Birds,Resident and winter visitor,Wader,All year,"Saltmarsh, estuaries, wet grassland, bog pools",Medium wader with red legs and ringing alarm call.,N/A,N/A,Keep distance from saltmarsh nesting areas,Local breeder and winter visitor,Tringa totanus,
common-snipe,Snipe,Gallinago gallinago,Birds,Resident and winter visitor,Wader,All year; drumming in breeding season,"Wet grassland, bogs, marshes, rushy fields",Secretive long-billed wader; males make drumming display flights.,N/A,N/A,Wetland drainage harms habitat,Resident/winter visitor; habitat concern,Gallinago gallinago,
barn-owl,Barn Owl,Tyto alba,Birds,Resident bird,Raptor / owl,All year; dusk/night,"Farmland, rough grassland, old buildings, barns",Pale heart-faced owl hunting silently over fields and verges.,N/A,N/A,Do not disturb roosts or nests; avoid rodenticide misuse,Resident; conservation concern; protected,Tyto alba,
common-blackbird,Blackbird,Turdus merula,Birds,Resident bird,Garden bird,All year,"Gardens, woodland, hedgerows, parks",Male black with yellow bill; female brown; rich fluting song.,N/A,N/A,Keep cats away from nests where possible,Common resident with winter migrants added,Turdus merula,
blue-tit,Blue Tit,Cyanistes caeruleus,Birds,Resident bird,Garden bird,All year,"Gardens, woodland, hedgerows","Small blue, yellow and white tit, frequent at feeders.",N/A,N/A,Clean feeders to reduce disease,Common resident,Cyanistes caeruleus,
bullfinch,Bullfinch,Pyrrhula pyrrhula,Birds,Resident bird,Finch,All year,"Woodland, orchards, hedgerows, gardens",Stocky finch with pink-red male breast and black cap.,N/A,N/A,Observe quietly; often shy.,Resident,Pyrrhula pyrrhula,
common-buzzard,Buzzard,Buteo buteo,Birds,Resident bird,Raptor,All year,"Woodland, farmland, uplands, road edges","Broad-winged raptor with mewing call, now widespread again in Ireland.",N/A,N/A,Observe from distance,Common and recovered resident,Buteo buteo,
chaffinch,Chaffinch,Fringilla coelebs,Birds,Resident bird,Finch,All year,"Woodland, hedgerows, gardens, farmland",Colourful male finch with bouncing flight and strong song.,N/A,N/A,Watch for trichomonosis at feeders; clean feeders,Common resident,Fringilla coelebs,
collared-dove,Collared Dove,Streptopelia decaocto,Birds,Resident bird,Pigeon / dove,All year,"Towns, gardens, farms",Pale dove with black neck collar and gentle cooing call.,N/A,N/A,Clean feeding areas,Common resident; comparatively recent colonist,Streptopelia decaocto,
great-cormorant,Cormorant,Phalacrocorax carbo,Birds,Resident bird,Seabird / waterbird,All year,"Coasts, lakes, estuaries, rivers",Large dark fish-eating bird often seen drying wings.,N/A,N/A,Observe roosts from distance,Resident and winter visitor,Phalacrocorax carbo,
dipper,Dipper,Cinclus cinclus hibernicus,Birds,Resident bird,River songbird,All year,Fast clean rivers and streams,"Dark bird with white bib, bobbing on rocks and walking underwater.",N/A,N/A,Clean rivers and undisturbed banks are vital.,Resident; water quality indicator,Cinclus cinclus hibernicus,
goldfinch,Goldfinch,Carduelis carduelis,Birds,Resident bird,Finch,All year,"Gardens, rough ground, thistles, hedgerows",Bright red-faced finch often feeding on seed heads.,N/A,N/A,Let seed heads remain for winter food,Common and widespread,Carduelis carduelis,
great-black-backed-gull,Great Black-backed Gull,Larus marinus,Birds,Resident bird,Gull,All year,"Coasts, islands, harbours, offshore",Very large gull with black back and powerful bill.,N/A,N/A,Observe colonies from distance.,Resident coastal species,Larus marinus,
great-crested-grebe,Great Crested Grebe,Podiceps cristatus,Birds,Resident bird,Waterbird,All year; display spring,"Lakes, reservoirs, slow waters",Elegant grebe with ornate head plumes and courtship dance.,N/A,N/A,Keep distance from floating nests.,Local resident,Podiceps cristatus,
great-tit,Great Tit,Parus major,Birds,Resident bird,Garden bird,All year,"Gardens, woodland, parks","Largest common tit, with black head and bold song.",N/A,N/A,Clean nest boxes and feeders responsibly,Common resident,Parus major,
greenfinch,Greenfinch,Chloris chloris,Birds,Resident bird,Finch,All year,"Gardens, hedgerows, parks, farmland","Green-yellow finch, once very common at feeders.",N/A,N/A,Clean feeders to reduce disease transmission.,Affected by trichomonosis; still widespread,Chloris chloris,
grey-heron,Grey Heron,Ardea cinerea,Birds,Resident bird,Waterbird,All year,"Rivers, lakes, estuaries, canals, wetlands",Tall grey wading bird standing motionless to catch fish and amphibians.,N/A,N/A,Give space around heronries,Common resident,Ardea cinerea,
grey-wagtail,Grey Wagtail,Motacilla cinerea,Birds,Resident bird,River bird,All year,"Streams, rivers, bridges, canals",Long-tailed grey and yellow wagtail often near flowing water.,N/A,N/A,Do not disturb bridge nests.,Resident,Motacilla cinerea,
herring-gull,Herring Gull,Larus argentatus,Birds,Resident bird,Gull,All year,"Coasts, towns, cliffs, harbours","Large pale gull with pink legs, common in coastal towns.",N/A,N/A,Do not feed; secure food waste.,Resident; urban nesting increasing in places,Larus argentatus,
hooded-crow,Hooded Crow,Corvus cornix,Birds,Resident bird,Corvid,All year,"Coasts, farmland, towns, uplands","Grey-and-black crow, common across Ireland.",N/A,N/A,Do not feed processed foods,Common resident,Corvus cornix,
house-sparrow,House Sparrow,Passer domesticus,Birds,Resident bird,Urban and farmland bird,All year,"Buildings, gardens, farms, hedges",Social brown and grey bird strongly associated with people.,N/A,N/A,Provide nest cavities and avoid removing hedges,Declined in many areas but still familiar,Passer domesticus,
jackdaw,Jackdaw,Coloeus monedula,Birds,Resident bird,Corvid,All year,"Towns, cliffs, farmland, chimneys, old buildings",Small black corvid with pale eye and sociable calls.,N/A,N/A,Check chimneys/nest sites legally and safely,Common resident,Coloeus monedula,
kestrel,Kestrel,Falco tinnunculus,Birds,Resident bird,Raptor,All year,"Farmland, motorway verges, cliffs, uplands",Small falcon often seen hovering while hunting.,N/A,N/A,Do not disturb nests,Resident; declining in places,Falco tinnunculus,
kingfisher,Kingfisher,Alcedo atthis,Birds,Resident bird,River bird,All year,"Rivers, canals, lakes, streams",Bright blue-orange bird darting low over water to catch fish.,N/A,N/A,Avoid disturbing nesting banks.,Protected resident,Alcedo atthis,
linnet,Linnet,Linaria cannabina,Birds,Resident bird,Finch,All year,"Gorse, farmland, dunes, hedgerows",Small finch of seed-rich rough ground; males show red breast in spring.,N/A,N/A,Leave seed-rich weeds and hedges.,Conservation concern in farmland landscapes,Linaria cannabina,
little-egret,Little Egret,Egretta garzetta,Birds,Resident bird,Waterbird,"All year, more coastal/wetland","Estuaries, marshes, rivers, coastal lagoons","Small white heron with black legs and yellow feet, now regular in Ireland.",N/A,N/A,Avoid disturbing feeding flocks,Increasing resident/regular visitor,Egretta garzetta,
little-grebe,Little Grebe,Tachybaptus ruficollis,Birds,Resident bird,Waterbird,All year,"Ponds, lakes, canals, reed-fringed water","Small diving bird with laughing trill call, often secretive in reeds.",N/A,N/A,Protect pond and reed margins.,Resident,Tachybaptus ruficollis,
long-eared-owl,Long-eared Owl,Asio otus,Birds,Resident bird,Owl,All year; nocturnal,"Woodland edge, conifers, farmland, hedgerows","Slim owl with ear tufts, often roosting quietly by day.",N/A,N/A,Do not disturb roosts/nests.,Resident but under-recorded,Asio otus,
magpie,Magpie,Pica pica,Birds,Resident bird,Corvid,All year,"Gardens, farmland, towns, woodland edge",Black-and-white intelligent corvid with long tail and chattering call.,N/A,N/A,Observe nesting behaviour without interference,Common resident,Pica pica,
mallard,Mallard,Anas platyrhynchos,Birds,Resident bird,Duck,All year,"Ponds, rivers, canals, lakes, wetlands",Familiar duck; males have green head and yellow bill.,N/A,N/A,Do not feed bread; use suitable grains sparingly,Common resident,Anas platyrhynchos,
meadow-pipit,Meadow Pipit,Anthus pratensis,Birds,Resident bird,Upland/farmland songbird,All year,"Bog, moorland, grassland, dunes","Small streaked bird of open country, important host for cuckoos.",N/A,N/A,Ground-nesting; keep dogs controlled in breeding season.,Widespread but habitat-sensitive,Anthus pratensis,
moorhen,Moorhen,Gallinula chloropus,Birds,Resident bird,Waterbird,All year,"Ponds, canals, rivers, marshes","Dark waterbird with red-yellow bill, flicking white undertail.",N/A,N/A,Do not feed bread; protect bankside vegetation.,Common resident,Gallinula chloropus,
mute-swan,Mute Swan,Cygnus olor,Birds,Resident bird,Swan,All year,"Lakes, canals, rivers, estuaries",Large white swan with orange bill and black knob.,N/A,N/A,Keep distance from nesting birds; do not feed bread,Common resident,Cygnus olor,
